Name,Release_year,Is_Multiplayer,Platform,Secondhand_Price,Date_ Completed
Cadence of Hyrule,2020,TRUE,Swtich,$0.0,7/4/2016
Hyrule Warriros : Age of Calamaity,2019,TRUE,Wii U,$31.49,7/4/2016
Hyrulke Warriors,2014,TRUE,Wii U,$9.99,2/1/2017
The Legend of Zelda,1987,FALSE,NES,$29.99,7/5/2012
The Legend of Zelda: A Link Between Worlds,2013,TRUE,3ds,$19.2,8/9/2013
The Legend of Zelda: A Link to the Past,1992,FALSE,SNES,$33.5,7/4/2016
The Legend of Zelda: A Link to the Past & Four Swords,2002,TRUE,GBA,$30.0,7/4/2016
The Legend of Zelda: Breath of the Wild,2017,FALSE,switch,$32.85,7/4/2016
The Legend of Zelda: Four Swords Adventures,2004,TRUE,GameCube,$61.5,7/4/2016
The Legend of Zelda: Four Swords Anniversary Edition,2011,TRUE,3ds,$0.0,3/20/2018
The Legend of Zelda: Link's Awakening,1993,FALSE,GB,$33.8,5/5/2017
The Legend of Zelda: Link's Awakening HD,2019,FALSE,Switch,$33.02,7/4/2016
The Legend of Zelda: Majora's Mask,2000,FALSE,n64,$52.5,5/15/2011
The Legend of Zelda: Majora's Mask 3D,2015,FALSE,3ds,$23.78,7/4/2016
The Legend of Zelda: Ocarina of Time,1998,FALSE,n64,$45.64,6/14/2012
The Legend of Zelda: Ocarina of Time 3D,2011,FALSE,3ds,$16.85,8/3/2011
The Legend of Zelda: Ocarina of Time Master Quest,2003,FALSE,GameCube,$47.96,7/4/2016
The Legend of Zelda: Oracle of Ages,2001,FALSE,GBC,$53.4,7/4/2016
The Legend of Zelda: Oracle of Seasons,2001,FALSE,GBC,$50.12,7/4/2016
The Legend of Zelda: Phantom Hourglass,2007,TRUE,ds,$32.52,4/4/2018
The Legend of Zelda: Skyward Sword,2011,FALSE,wii,$14.12,2/1/2010
The Legend of Zelda: Skyward Sword HD,2021,FALSE,Switch,$32.66,7/4/2016
The Legend of Zelda: Spirit Tracks,2009,TRUE,ds,$64.99,10/5/2018
The Legend of Zelda: Tears of the Kingdom,2023,FALSE,switch,$59.99,7/4/2016
The Legend of Zelda: The Minish Cap,2004,FALSE,GBA,$85.0,12/11/2017
The Legend of Zelda: The Wind Waker,2003,FALSE,GameCube,$55.68,7/4/2016
The Legend of Zelda: The Wind Waker HD,2013,FALSE,Wii U,$49.58,2/2/2014
The Legend of Zelda: Tri Force Heroes,2015,TRUE,3ds,$15.57,7/4/2016
The Legend of Zelda: Twilight Princess,2006,FALSE,GameCube,$93.79,7/4/2016
The Legend of Zelda: Twilight Princess HD,2016,FALSE,Wii U,$89.36,7/4/2016
Thee Legend of Zelda: Link's Awakening DX,1998,FALSE,gbc,$52.93,3/20/2019
Zelda II: The Adventure of Link,1988,FALSE,NES,$19.43,7/4/2016
tiger,2008,FALSE,handheld,$14.23,2/2/2023
tiger,1999,TRUE,handheld,$45.23,2/2/2021
